2.3004,0.0,19.58,0.605,6.319,96.1,2.1,403,14.7,23.8
13.3598,0.0,18.1,0.693,5.887,94.7,1.7821,666,20.2,12.7
0.12744,0.0,6.91,0.448,6.77,2.9,5.7209,233,17.9,26.6
0.15876,0.0,10.81,0.413,5.961,17.5,5.2873,305,19.2,21.7
0.03768,80.0,1.52,0.404,7.274,38.3,7.309,329,12.6,34.6
0.03705,20.0,3.33,0.4429,6.968,37.2,5.2447,216,14.9,35.4
0.07244,60.0,1.69,0.411,5.884,18.5,10.7103,411,18.3,18.6
0.1,34.0,6.09,0.433,6.982,17.7,5.4917,329,16.1,33.1
4.81213,0.0,18.1,0.713,6.701,90.0,2.5975,666,20.2,16.4
0.15086,0.0,27.74,0.609,5.454,92.7,1.8209,711,20.1,15.2
0.13587,0.0,10.59,0.489,6.064,59.1,4.2392,277,18.6,24.4
0.08664,45.0,3.44,0.437,7.178,26.3,6.4798,398,15.2,36.4
0.26938,0.0,9.9,0.544,6.266,82.8,3.2628,304,18.4,21.6
0.05302,0.0,3.41,0.489,7.079,63.1,3.4145,270,17.8,28.7
0.0686,0.0,2.89,0.445,7.416,62.5,3.4952,276,18.0,33.2
0.14231,0.0,10.01,0.547,6.254,84.2,2.2565,432,17.8,18.5
0.1676,0.0,7.38,0.493,6.426,52.3,4.5404,287,19.6,23.8
0.04301,80.0,1.91,0.413,5.663,21.9,10.5857,334,22.0,18.2
0.06905,0.0,2.18,0.458,7.147,54.2,6.0622,222,18.7,36.2
0.21719,0.0,10.59,0.489,5.807,53.8,3.6526,277,18.6,22.4
